<node>	<field>	<description>	<type>	<terms>	<pattern>	<maximum>	<minimum>	<options1>	<options2>	<options3>	<options4>	<options5>	<options6>	<options7>	<options8>
aliquot	aliquot_container	The device in which the final aliquot is held. Slides or vials.	enum					Not Applicable | Other | Slide | Vial 							
aliquot	aliquot_quantity		number	_terms.yaml#/aliquot_quantity											
aliquot	aliquot_volume		number	_terms.yaml#/aliquot_volume											
aliquot	analyte_a260_a280_ratio	The ratio of absorbance at 260 and 280 nm for nucleic acid analytes.	number												
aliquot	analyte_concentration	Concentration of the analyte in the aliquot.	number												
aliquot	analyte_isolation_method	The name or general description of the method used to isolate the analyte.	string												
aliquot	analyte_type	Any aspect of an aliquot used in an analysis or assay to characterize the sample. These aspects range from molecules, such as DNA and RNA, that can be extracted from the aliquot to general descriptions of the aliquot's components, such as cell count and morphology.	enum					Cell Count | DNA | Morphology | Peptide | Protein | RNA 							
aliquot	days_to_aliquot	The amount of time, in days, between the date used for index and the time the aliquot was separated from the whole sample.	integer												
aliquot	hours_to_analyte	The amount of time, in hours, that it took between the sample being fractionated and the analyte being extracted.	number												
aliquot	hours_to_preservation	The amount of time, in hours, that it took between the sample being fractionated and the aliquot being frozen or otherwise preserved.	number												
aliquot	preservation_method	The method used to preserve the aliquot.	enum					Cryopreserved | FFPE | Fresh | Frozen | OCT | Snap Frozen | Unknown 							
aliquot	source_center		string	_terms.yaml#/source_center											
aliquot	storage_temperature	The temperature, in centigrade, at which the aliquot was preserved and/or stored.	number												
followup	fup	"Indicates vital status at last follow-up (""1"" or ""3"" is alive; ""2"" indicates dead). From RERF 'mort_fup' table."	integer												
followup	last_dt	Last contact date (DDmonYYYY). From RERF 'mort_fup' table.	string												
imaging_file	body_part_examined	What part of the body was studied.	string												
imaging_file	data_category		enum	_terms.yaml#/data_category				CT Scan | MRI | Ultrasound 							
imaging_file	data_format		enum	_terms.yaml#/data_format				DCM | GIF | JPEG | PNG | SVS | TIFF 							
imaging_file	data_type		enum	_terms.yaml#/data_type				Imaging File 							
imaging_file	days_to_image	Days from the case index date to the date the image was acquired.	integer												
imaging_file	imaging_instrument	The instrument model used to acquire the image.	string												
imaging_file	imaging_type	The type of imaging exam performed.	enum					CT Scan | MRI | Ultrasound 							
imaging_file	magnification	Magnification used to capture the image.	number												
imaging_file	manufacturer	Manufacturer of the study equipment.	string												
imaging_file	modality	What mode the imaging instrument was in during image acquisition.	string												
imaging_file	patient_id	Scrambled patient identifier.	string												
imaging_file	patient_sex	Patient's gender.	string												
imaging_file	scan_id	The identification number for a stack of images generated during a single scan.	string												
imaging_file	series_description	Specifics of a given study.	string												
imaging_file	series_instance_uid	Unique identifier of a series.	string												
imaging_file	series_number	Number of serial studies.	number												
imaging_file	sop_class_uid	Classification of image storage.	string												
imaging_file	study_date			_definitions.yaml#/datetime											
imaging_file	study_description	Type of the study and a studied body part.	string												
imaging_file	study_id	Identifier of a study.	number												
imaging_file	study_instance_uid	Unique identifier of a study.	string												
study	associated_study	The submitter_id for any study with which this study is associated, paired, or matched.	string												
study	created_datetime			_definitions.yaml#/datetime											
study	data_description	Brief description of the data being provided for this study. Free text	string												
study	id	The UUID for the study.		_definitions.yaml#/UUID											
study	project_id			_definitions.yaml#/project_id											
study	state			_definitions.yaml#/state											
study	study_description	A brief description of the study being performed. Free text	string												
study	study_design	Summary of the goals the study is designed to discover. General description of the study's place in relation to a clinical application.	enum					Analytical | Clinical | Clinical Assay | Clinical Utility | Pre-Analytical | Research/Early Development 							
study	study_objective	The general objective of the study. What the study hopes to discover or determine through testing.	enum					Accuracy | Clinical Detection | Interference | Limit of Detection | Precision (Repeatability) | Precision (Reproducibility) | Specificity/Sensitivity | Stability 							
study	study_setup	A high level description of the setup used to achieve the study objectives.	enum					Detection/Enumeration/Isolation | Genetic Analysis 							
study	submitter_id	A project-specific identifier for a node. This property is the calling card/nickname/alias for a unit of submission. It can be used in place of the UUID for identifying or recalling a node.	string												
study	type		string												
study	updated_datetime			_definitions.yaml#/datetime											
birth	bdy	Birth day. From RERF 'births' table.	integer												
